setup,lmd,exp,category
252 Max-Left LMD,69417.51,37695.07,252
252 Max-Left EXP,58506,51904.28,252
252 Max-Right LMD,68623.94,31106.67,252
252 Max-Right EXP,57407.54,44906.24,252
243 LMD,62313.48,34126.67,243
243 EXP,60120.24,36982.74,243
342 Max-Left,80767.39,17186.67,342
342 Max-Right,76672.44,15659.16,342
153,34194.69,69740.63,153
LEFT,0,69740.63,line
153,34194.69,69740.63,line
252 Max-Right EXP,57407.54,44906.24,line
252 Max-Right LMD,68623.94,31106.67,line
342 Max-Right,76672.44,15659.16,line
DOWN,76672.44,0,line
